MIDWEST GRAIN FUTURES 11:31 EDT|MINNEAPOLIS WHEAT MAY7 285 UP 1 1/2 JUL7 281 UP 1/4 SEP7 277 UP 1 DEC7 -- -- MAR8 -- --
BOXED BEEF CUT-OUT VALUE/MOVEMENT-USDA|boxed beef movement and demand very good amid light to moderate supplies. Estimated gross boxed beef cut-out for tuesday, April 7, 1987, choice 2-3 550-700 lb carcasses up 1.19 at 103.24, 700-850 lbs up 2.12 at 103.78 and goods 2-3 up 1.15 at 99.75. These values based on carlot prices of fabricated beef cuts, FOB omaha basis and industry yields. CH 2-3 CH 2-3 GD 2-3 fab cut trmgs 550/700 700/850 550/up loads loads tues 4/7 103.24 103.78 99.75 414 113 mon 4/6 102.05 101.66 98.60 87 12 tues 3/31 102.42 102.30 98.75 182 45 FOB OMAHA CHOICE 2-3 550/700 WGT VALUE CHANGE PRICE 112 RIBEYE LIP ON 11-dn 10.85 dn 7.00 3.20 120 BRISKET 6-10 2.89 up 2.00 1.06 126 ARM CHUCK 55-82 22.78 up 3.00 0.96 167 KNUCKLE 8-11 3.93 up 3.00 1.37 168 TOP ROUND 14-20 9.08 up 3.00 1.56 170 BOTTOM ROUND 18-25 8.57 unch 1.18 180 STRIP LOIN 10-12 11.14 unch 2.85 184 TOP BUTT 10-12 6.27 up 1.00 1.85 189 TENDERLOIN 5-7 6.94 unch 3.40n Reuter
RAIN BOOSTS CENTRAL QUEENSLAND SUGAR CANE CROP|Good rains of one to four inches in the past 10 days have boosted moisture-stressed sugar cane crops in the Mackay-Burdekin region of Queensland's central coast, an Australian Sugar Producers' Association spokesman said. As previously reported, the region has been undergoing a severe dry spell, partly relieved by scattered rainfall, since December, following the virtual failure of the summer wet season. Mills in the area have been reporting that their crops are beginning to look healthy and greener and are putting on growth since the rains began, the spokesman said from Brisbane. Although the Mackay-Burdekin crop outlook is much better than it was, there will be some cane losses, the spokesman said. But is too early to say what they will be and more rain is needed to restore sub-soil moisture. Elsewhere, in far north Queensland, the Bundaberg region and southern Queensland, the cane is in excellent condition and some mills are forecasting record crops, he said. Initial 1987 crop estimates will probably be compiled towards the end of May, he said. The cane crush normally runs from June to December. REUTER
COMPUTER RESEARCH INC <CORE> 2ND QTR FEB 28 NET|Shr 14 cts vs nine cts Net 217,572 vs 153,454 Revs 2,530,273 vs 2,558,924 1st half Shr 19 cts vs 11 cts Net 299,838 vs 174,739 Revs 4,865,249 vs 4,495,021 Reuter
GREEN TREE ACCEPTANCE INC <GNT> 1ST QTR NET|Shr 50 cts vs 40 cts Net 9,421,000 vs 9,312,000 Rev 37.7 mln vs 36.3 mln Avg shrs 17,049,920 vs 21,173,570 NOTE: Per-share results adjusted for two-for-one common stock split in June 1986 Reuter
FINNS AND CANADIANS TO STUDY MTBE PRODUCTION PLANT|Finland's national oil company Neste Oy <NEOY.HE> said in a statement it had agreed with Canadian firms to study the feasibility of building a plant in Edmonton, Canada, to produce a replacement for lead in petrol. The prospective plant would cost an estimated 270 mln Canadian dlrs and would produce methyl tertiary butyl ether (MTBE) from raw materials available locally, it said. The partners in the study are Neste Oy, Celanese Canada Inc, Hoechst Celanese Corporation and Trade Mountain Pipe Line Company Ltd, of Vancouver, B.C. The Edmonton site was suitable because of the raw materials availability, the proximity to pipeline transportation and the important capital and operating advantages gained by locating on an existing Celanese Canada site, the statement said. The partners would look into the feasibility of a plant producing 500,000 tonnes per annum of MTBE, an octane enhancer that can replace tetra ethyl lead. Most of the MTBE would be targeted for the United States where lead levels in gasoline are being lowered because of health concerns, the statement added. Canadian lead limits are currently 11 times as high as the U.S. Limit but lead is scheduled for virtual elimination in Canada by 1993, which should create a Canadian demand for MTBE, it said. Finland's Neste Oy, whose turnover last year was over five billion dlrs, has extensive experience with MTBE. It has a major investment in an MTBE plant in Saudi Arabia. The Edmonton, Alberta plant would be scheduled to go on stream in late 1989, the statement said. REUTER
CBT WHEAT FUTURES OPEN FIRMER, SET NEW HIGHS|CBT wheat futures opened firmer to again set new contract highs in new crop, then back off those highs to hold gains of 1-1/4 cents per bushel in May, with new crop July unchanged in light early dealings. Steady speculative buying after yesterday's strong close kept the chart picture very bullish and supported initial values, traders said. Rumors that exporters are planning to ship SRW wheat out of Toledo and/or Chicago, further tightening already low deliverable stocks, kept May firm relative to new crop months, they added. However, the rally failed to follow-through due to the lack of confirmed export sales of significant quantities of U.S. wheat so far this week, as some traders expected. Reuter
IOWA GRAIN ELEVATOR EXPLODES, BURNS|An explosion and fire today damaged a grain elevator in Bancroft, Iowa, destroying thousands of bushels of grain, authorities said. The pre-dawn explosion ripped the wooden elevator open, and a fire that followed continued burning at late morning but had been contained, according to a dispatcher at the Algona Police Department. No injuries were reported at the Lone Rock Coop facility. The dispatcher said the elevator was filled with corn, and a nearby drying building holding soybeans was on fire. The explosion was the second in four days in Iowa following the destruction of an Archer Daniels Midland elevator in Burlington last Friday. Reuter
MALAYSIA SETS 100 MLN SWISS FRANC NOTES ISSUE|Malaysia is launching a 100 mln Swiss franc 5-3/4 pct 10-year notes issue priced at 100.2 pct, lead manager Swiss Bank Corp said. Payment date is expected to be April 22. Early redemption is not allowed. Swiss Bank Corp said this is the first time Malaysia has tapped the Swiss capital market since it issued a bond here in July 1985. REUTER
NEW BEDFORD INSTITUTION FOR SAVINGS <NBBS> YEAR|Net 12.3 mln vs 6,438,000 NOTE: Company went public in March. Reuter
NORANDA TO SELL 150 MLN DLRS IN DEBENTURES|<Noranda Inc> said it will sell 150 mln dlrs of adjustable convertible subordinated debentures to a group of investment dealers led by Gordon Capital Corp. The debentures will be convertible into Noranda common shares until April 29, 2007 at 35 dlrs per share. Interest rate will be five pct subject to upward adjustment based on dividends paid on common shares, Noranda said. Reuter
RED LION INNS L.P. BEGINS OFFERING|Red Lion Inns L.P. said it began an initial public offering of 4.9 mln units priced at 20 dlrs a unit. Proceeds and a 105.87 mln dlrs mortgage loan will be used to finance the acquisition of 10 Red Lion hotels, it said. Reuter
MIDWEST GRAIN FUTURES 11:50 EDT|MINNEAPOLIS WHEAT MAY7 284 1/4 UP 3/4 JUL7 280 3/4 UNCH SEP7 276 1/2 UP 1/2 DEC7 -- -- MAR8 -- --
UNIVERSITY <UPT> REPORTS MARCH LENS SALE|University Patents Inc said its optical products subsidiary sold 5,652 Alges soft bifocal contact lenses in March, after allowances for exchanges and returns. The lenses were approved for marketing in April 1986 by the Food and Drug Administration. Reuter
VOLCKER SEES TIGHT POLICY HURTING INVESTMENT|Federal Reserve Board Chairman Paul Volcker said a restrictive monetary policy would be damaging to investment and that a better course would be to restrain spending. "A restrictive monetary policy would hit investment. You don't want to put interest rates up unless you have to," Volcker told the Senate Banking Committee. "That is not a constructive way to proceed," he said. Volcker said that given a choice between squeezing the budget deficit or squeezing investment, he would favor squeezing the budget deficit. In response to a question about banks, Volcker said he would be pleased if Congress decided to give banks a tax writeoff as an incentive for them to take greater reserves against loans to debtor countries. "If you give a tax writeoff for reserving against loans, then we will see more reserving and that would make me happy," Volcker told Committee Chairman Sen William Proxmire (D-Wisc). Reuter
TREASURY BALANCES AT FED ROSE ON APRIL 6|Treasury balances at the Federal Reserve rose on April 6 to 4.262 billion dlrs from 3.876 billion dlrs on the previous business day, the Treasury said in its latest budget statement. Balances in tax and loan note accounts fell to 4.950 billion dlrs from 5.004 billion dlrs on the same respective days. The Treasury's operating cash balance totaled 9.212 billion dlrs on April 6 compared with 8.880 billion dlrs on April 3. Reuter
I.U. INTERNATIONAL <IU> TO SELL INSURANCE UNITS|I.U. International Co said it reached a preliminary agreement to sell the Hawaiian Insurance Cos to Hawaiian Electric Industries Inc. <HE>. Terms of the transaction were not disclosed, the company said. The transaction is subject to the execution of definitive agreements, certain governmental approvals and approvals by the boards of directors involved, I.U. International said. Hawaiian Electric said the planned purchase was part of its strategy to increase the company's investment in selected service industries in Hawaii, including financial services. Reuter
ALIAS RESEARCH IN CAPITAL JOINT VENTURE|<Alias Research Inc> said it entered into a four mln dlr joint venture capital investment with several firms led by <TA Associates> of Boston. Joining TA Associates are <Greylock Management Corp>, and <Crownx> of Toronto, Alias said. Alias, which develops 3D computer graphics software, said the investment capital will be used to support ongoing research and development and to extend worldwide marketing initiatives. Reuter
TOTAL SYSTEM SERVICES INC <TSYS> 1ST QTR NET|Shr nine cts vs seven cts Net 1,356,000 vs 1,041,000 Revs 9.7 mln vs 8.4 mln Reuter
CBT SOYBEAN FUTURES MOSTLY HIGHER AT MIDSESSION|CBT soybean futures held gains of three to 6-1/2 cents per bushel in moderately light midsession trade, with new crop supported by local house buying. Slow country movement, steady to firmer cash soybean basis values and a delayed Brazilian harvest combined to support futures from the opening, despite a disappointing drop in the weekly soybean export figure yesterday, traders said. The advance above the psychologically important 5.00 dlr mark in both old and new crop kept the chart picture bullish, which could limit declines when South American sales begin to pick-up later this month, they added. However, some traders said new crop prices above 5.00 dlrs a bushel could encourage some farmers to plant more soybean acres than they originally planned. Reuter
BAKER, VOLCKER MEET WEST GERMAN OFFICIALS|Treasury Secretary James Baker and Federal Reserve Board Chairman Paul Volcker held a meeting with senior West German monetary officials, including Finance Minister Gerhard Stoltenberg, Volcker said. Volcker emerged after two-hours in the Treasury building but declined to comment on the subjects they discussed. Stoltenberg, accompanied by other senior West German officials attending the spring meeting of the International Monetary Fund, left the Treasury without speaking to reporters. Reuter
LONDON EURODOLLAR DEPOSITS CLOSE QUIETLY STEADY|Eurodollar deposit rates closed little changed around the levels established at midmorning. Rates at the longer end of the market showed 1/16 point gains on a weak opening from the dollar, dealers said. Trading remained very quiet throughout the day with operators sidelined in the absence of major U.S. Economic data and ahead of this week's Group of Seven meeting in Washington. The G-7 finance ministers are due to discuss their February pact on currency stability and this could well have an impact. One to five month eurodollars were steady with three months closing at 6-9/16 7/16 pct. Dealers noted that Federal Reserve Board Chairman Paul Volcker said a restrictive monetary policy would hit investment and that a better course would be to restrain spending. Volcker was testifying to the Senate Banking Committee. Volcker also said a further fall in the dollar would be counterproductive and that the currency's performance could be a factor in determining U.S. Monetary policy. Short dated eurodollars were steady with overnight to spot/next quoted at a uniform 6-1/4 1/8 pct. The Fed added temporary reserves via two-day system repurchase agreements with Fed funds trading at 6-1/8 pct. REUTER
FREEPORT TO START SULPHUR MINE IN PHILIPPINES|Freeport McMoran Inc <FTX.N>, a New York listed New Orleans-based natural resource, oil and gas company, is planning to build and run a surface sulphur mine in the central Philippines, a company statement said. It said Freeport officials were in the Philippines to discuss contractual arrangements with joint venture partner <International Consultex (Philippines) Inc>. The statement quoted Robert Foster, president of Freeport Sulphur Co, as saying the company was optimistic about the proposed mine at Pamplona in Negros Oriental province, as well as the country's investment climate. "The sulphur project will involve initial capital expenditures of between 50 and 100 mln dlrs depending upon the processing technology and the capacity of the project," Foster said. "We anticipate that the project may employ as many as 1,000 workers in Negros Oriental." Freeport-McMoran's senior vice-president Rene Latiolais said the company was also interested in gold and other precious metals and geo-thermal energy development in the Philippines. The statement said Freeport, which anticipates 1987 sales of 1.5 billion dlrs, is a major producer of sulphur, phosphate and nitrogen fertilisers, uranium oxide and geo-thermal energy. REUTER
STALEY CONTINENTAL <STA> REGULAR DIVIDEND SET|Qtly div 20 cts vs 20 cts previously Pay June Eight Record May 22 Reuter
JAPAN SEEKS TO STRENGTHEN PARIS CURRENCY ACCORD|Japan will seek to strengthen the Paris accord on currency stability at the meeting of the group of seven leading industrial nations tomorrow, Japanese officials said. However, the officials travelling with Japanese Finance Minister Kiichi Miyazawa and who asked not to be identified, would not provide any details of how they wanted the accord, which was signed by the six leading industrial democracies in February, to be strengthened. Currency target zones, or reference ranges, will not be discussed at the G-7 meeting which is scheduled for tomorrow, the Japanese officials said. The meeting, which is being held in conjunction with this week's International Monetary Fund/World Bank sessions, will reaffirm the currency pact and there is no need for changing the language used in the Paris accord, the officials said. Miyazawa met with U.S. Treasury Secretary James Baker early in this afternoon and discussed the dollar/yen exchange rates, officials said, but they declined to disclosed the details of that discussion. The Japanese officials also declined to detail what Miyazawa and Baker discussed on the subject of greater joint intervention in currency markets to stabilize the dollar or on independent American intervention. The officials said such a money market action to stabilize the dollar is not only for the benefit of Japan, which is suffering from a sharp appreciation in its currency, but also for the benefit of the United States as well. As to U.S. urgings for Japan to take steps to boost its domestic demand to reduce its trade surplus, Japan will explain economic measures to the G-7, the officials said. However, Miyazawa failed to outline the size of the Japanese economic package in his meeting with Baker today because the Japanese 1987/88 budget has not been authorized by the Diet, or parliament, despite the new fiscal year which started April one, the officials said. Japan's ruling liberal democratic party revealed its own economic package today calling for more than 5,000 billion yen in additional spending. Reuter
CANADA STOCKS HIGHER AT MIDSESSION|Toronto stocks prices rose higher into record territory, bolstered by the resource sector, but slowed the momentum of the four-session climb. The composite index rose 13.30 points to 3894.60 on volume of 19.4 mln shares. Most stock groups joined in the rally with advances outpacing declines 443 to 339. Gold miner Galactic Resources improved 7/8 to 10-1/8. It announced yesterday plans to merge with Quartz Mountain Gold and said Cornucopia Resources granted an option to enter into a Nevada joint venture. In other golds, Hemlo Gold gained 7/8 to 27-1/4 and Lacana Mining rose 1-1/8 to 18-1/4. Oil shares provided support for the session's advance as oils also turned higher on Wall Street. Imperial Oil class A surged 7/8 to 73 dlrs, Shell Canada won 3/4 to 42-3/4 and Texaco Canada improved 3/4 to 36-3/4. Dome Petroleum slipped one ct to 1.15 dlrs after gaining eight cts yesterday. Analysts said the stock was attractive on a technical basis, adding they were increasingly optimistic that Dome will complete a debt reorganization. Forest products continued higher. Rising issues included Canfor Corp 1-1/4 to 35-3/4, British Columbia Forest Products 1/2 to 21-1/4 and Consolidated-Bathurst 1/4 to 21-1/4. Non-precious metals also joined in the resource-based rally. Alcan added 1/4 to reach 54-1/8, Falconbridge firmed 3/8 to 20-1/4 among actives and Inco firmed 1/8 to 21-7/8. Volume leaders were mixed. Top active Canadian Pacific edged down 1/8 to 24-7/8 and Northern Telecom slipped 1/4 to 59-3/4, while International Thomson rose 1/4 to 16-1/2. Montreal's market portfolio index gained 7.67 points to 1942.70 with mining, utility and oil stock groups higher. In Vancouver, the index rose 8.6 points to 1882.6. Reuter
EMERY AIR <EAF> MARCH SHIPMENTS RISE|emery Air Freight Corp said March shipments were up 19 pct to 1,349,000 from 1,134,000 a year earlier and weight was up 27 pct to 61.4 mln pounds from 48.4 mln. Reuter
IRAQ CCC CREDIT GUARANTEES SWITCHED - USDA|The Commodity Credit Corporation (CCC) has transferred 21.0 mln dlrs in credit guarantees previously earmarked for sales of U.S. corn and 5.0 mln dlrs for sales of oilseeds to increase available coverage on sales of U.S. poultry meat to Iraq, the U.S. Agriculture Department said. The department said the action was taken at the request of Iraq's State Trade Organization for Grains and Foodstuffs. The guarantee line for sales of corn has been reduced from 78.0 mln dlrs to 57.0 mln and the line for oilseeds from 5.0 mln dlrs to zero. The guarantee line for sales of frozen poultry has been increased from 30.0 mln dlrs to 56.0 mln dlrs, USDA said. Reuter
INTERFACE <IFSIA> BEGINS OFFERING|Interface Flooring Systems Inc said it began a public offering of 2.8 mln shares of Class A stock at 21.25 dlrs a share. Proceeds will be used to finance the acquisition of 50 pct of Debron Investments PLC and to reduce debt. Reuter
NATIONAL BANK MORTGAGE ISSUES CANADIAN DLR BOND|National Bank Mortgage Corp is issuing a 100 mln Canadian dlr eurobond due May 18, 1992 with a nine pct coupon and priced at 101-3/4 pct, McLeod Young Weir International Ltd said as lead manager. The non-callable bonds will be guaranteed by the National Bank of Canada. They will be issued in denominations of 1,000 and 10,000 dlrs and listed in Luxembourg. Gross fees of 1-7/8 pct comprise 1-1/4 pct for selling and 5/8 pct for management and underwriting combined. Pay date is May 18. There will be two co-leads. REUTER
BERRY PETROLEUM, NORRIS OIL <NOIL> TO MERGE|Berry Petroleum Co said its board and the Norris Oil Co board approved a merger agreement that calls for Norris to become a wholly-owned Berry subsidiary. Berry, a privately-owned company which already owns 80.6 pct of Norris Oil's stock, said the agreement calls for Norris' public shareholders to receive 0.0333 Berry common shares for each Norris share held. Reuter
JORDAN BOOSTS BIDS IN EXPORT BONUS WHEAT TENDER|Jordan has boosted its bids for U.S. soft and hard wheat under Export Bonus, private export sources said. Jordan today bid 74 dlrs per tonne for soft wheat and 75 dlrs per tonne for hard red winter wheat in its tender for 225,000 tonnes of hard and soft wheat for April through November shipment. Earlier today, USDA rejected its bids of 70 dlrs for both varieties, they said. Reuter
N.Y. FCOJ FUTURES SURGE, OFF HIGHS MIDDAY|Frozen concentrated orange juice futures ran up as much as 4.40 cents on frantic speculative short covering this morning, after local buying triggered buy stops in the May over 132.00 cents. Floor traders said the market has quieted now, and prices have come off the highs as Florida trade took profits. May rose to 133.50 cents, up 2.3 cents, before retreating to 132.90 cents at 1208 hrs EST. July climbed 4.4 cents to 133.50 cents as well, but was trading at 131.75 cents at noon. A report showing the speculators went net short the market last week as well as liquidating longs spurred light trade buying in the morning to test speculator resolve. The trade turned sellers at the top, floor sources said. Reuter
HELIG-MEYERS CO <HMY> YEAR FEB 28|Shr 1.30 dlrs vs 1.07 dlrs Net 13.6 mln dlrs vs 10.2 mln Revs 271.2 mln vs 182.3 mln NOTE:1986 results reflect year 11 month period because company changed fiscal year to end February 28 from March 31. Reuter
HOME SAVINGS AND LOAN ASSOCIATION INC <HSLD>|2nd qtr March 31 Shr 57 cts vs not given Net 790,874 vs 628,020 1st half Shr 1.15 dlrs vs not given Net 1,588,985 vs 1,073,163 NOTE: Company recently went public. Reuter
MAGMA LOWERS COPPER PRICE 0.50 CT TO 65.50 CTS|Magma Copper Co, a subsidiary of Newmont Mining Corp, said it is lowering its copper cathode price by 0.50 cent to 65.50 cents a lb, effective immediately. Reuter
GULF EDIBLE OIL PRICES - April 7|quoted in cents per lb versus nearby CBT soyoil contracts. Crude degummed soybean oil NOLA - April offered 0.40 over, bid 0.10 over. May offered 0.45 over, bid 0.25 over. June offered 0.50 over, bid 0.40 over. July through September offered 0.60 over, bid 0.50 over. Sunflowerseed oil - May through September offered 0.95 over, bid 0.75 over. PBSY Cottonseed oil - April/May offered 4.25 over, bid 3.60 over. June offered 4.50 over, bid 3.75 over. July through September offered 4.75 over, bid 4.00 over. Reuter
ALLIED-SIGNAL <ALD> UNIT TO CUT EMPLOYEES|Allied-Signal Inc's Bendix Test Systems Division is cutting between 75 and 125 employes as part of its streamlining efforts. Bendix, which is part of the Aircraft Systems Co of Allied-Signal's Aerospace's Bendix sector, said the cuts would create a more cost-effective unit. It said employment is expected to remain at approximately 1,200 employes. The reductions began last month when the division announced a voluntary retirement program for eligible employes. Reuter
DALTEX <DLTX> ASSIGNED PATENT FOR SKIN THERAPY|Daltex Medical Sciences Inc said a non-toxic, oral drug to treat skin disorders, such as redness, scattered pimples, yellow and wrinkling associated with aging, has been filed by the inventors and assigned to the company. The inventors are Dr. Albert M. Kligman and Dr. Gerd Plewig. Kligman, a University of Pennsylvania dermatologist, discovered the use of retinoic acid for treating acne. Daltex said initial tests of the drug, a retinoid compound, have proved effective in treating "problem" skin most often found in those over 50 and in those whose skin problems have been aggravated by excessive sun exposure. In a Daltex statement, Dr Kligman said that daily doses of the drug can "moderate or reverse" a number of skin problems without the side effects typically associated with retinoid compounds. He said more than 100 men and women in the U.S. and Germany have been treated for six months to two years with the drug, and said studies indicate that its therapeutic effect can be maintained if patients take maintenance doses two or three times a week. Reuter
DELTA AIR <DAL> TO EXPAND PASSENGER TERMINAL|Delta Air Lines Inc said it began construction to expand its passenger terminal facilities at Dallas/Fort Worth International Airport. Adding a new nine-gate terminal that will be connected to Delta's existing terminal by an underground tunnel will cost about 20 mln dlrs, a Delta spokesman said. The carrier will have a total of 32 gates, up from the current 23, when the terminal is completed in late 1988. With the new "satellite" terminal, Delta will be able to expand to more than 300 daily flights at the airport, up from about 200 currently, it said. Reuter
MALAYSIAN FUND TO BE LAUNCHED IN U.S. IN MAY|The first Malaysian investment fund for foreign investors will be launched in the United States market next month to raise between 60 to 69 mln dlrs, <Arab Malaysian Merchant Bank Bhd> (AMBB) said. The fund, called <Malaysian Fund Inc>, will be jointly sponsored by the merchant bank and the International Fund Corporation of the World Bank, said AMBB in a statement. The two institutions, together with Merrill Lynch Capital Markets <MER> and Morgan Stanley Inc <MS>, are underwriters for the fund, it added. AMBB said its wholly-owned subsidiary <Arab Malaysian Consultant> will be the fund's Malaysian investment adviser while <Morgan Stanley Asset Management Inc> will manage it. It added that 80 pct of the money raised will be used to invest in shares of Malaysian companies on the Kuala Lumpur Stock Exchange and the remaining in unlisted shares. AMBB said the fund will expose the Malaysian market to US and Japanese investors and help develop the local capital market. REUTER
TANZANIA RAISES PRICES TO KEEP BUDGET DEFICIT DOWN|The Tanzanian government raised the price of beer, soft drinks and cigarettes by 20 pct and telephone and telex calls by 10 pct in an attempt to keep its budget deficit for this financial year roughly on target. The deficit for the financial year ending on June 30 was initially forecast at 3,350 mln shillings and the new measures will raise some 700 mln shillings in extra revenue, a statement from the Ministry of Finance, Economic Affairs and Planning said. According to the statement, the price increases, which take immediate effect, were needed because the government had lost tax revenue through lower than expected industrial production. Water and power problems and a shortage of spare parts had reduced the output of Tanzanian factories, it said. The ministry also announced a new 30 pct tax on goods imported by non-resident businessmen and said the government would take steps against importers who have been evading duty in collusion with corrupt customs officials. REUTER
LONDON SUGAR NO.6 AT 1730 - APR 7|153.0 147.0 1504 Aug 156.8 156.8 --- 156.8 152.0 495 Oct 160.0 161.0 --- 160.0 155.6 1739 Dec 161.0 161.6 163.0 163.0 161.0 54 TOTAL SALES 3792
BAHIA COCOA FUTURES CLSG|Closing prices on the Bahia Cocoa Futures Market were as follows (in cruzados per 60 kilo bag delivered Ilheus/Itabuna with previous in brackets) - May 2,560 (2,560) volume 23 lots July 3,248 (3,248) volume nil September 3,865 (3,772) volume 23 lots December 5,084 (5,000) volume nil Contract in 50 bags REUTER
COMTERM, GENERAL INSTRUMENT (GRL) IN CONTRACT|(Comterm Inc) said it signed an agreement to manufacture computer terminals for General Instrument Corp to be used in the company's computerized electronic lottery systems. Comterm did not give the value or other details of the contract. Reuter
BANK OF ENGLAND EFFECTIVE INDEX SHOWS DOLLAR AT 101.6|The Bank of England's effective exchange rate index showed the U.S. Dollar at 101.6 compared with 101.7 previously. Other effective rates were = Australian dlr 55.7 ( 55.9 ) Aus Sch 137.5 ( 137.6 ) BFR con 99.9 ( 100.0 ) CAN 79.3 ( 79.3 ) DKR 92.7 ( 92.7 ) FFR 71.5 ( 71.6 ) DMK 146.4 ( 146.5 ) LIT 47.9 ( 47.9 ) YEN 219.6 ( 218.5 ) DFL 134.3 ( 134.4 ) NKR 79.3 ( 79.2 ) SKR 68.5 ( 68.5 ) SFR 172.3 ( 171.8 )
LONDON OILS/SEEDS CLOSE QUIETLY MIXED|Oils and oilseeds traded quietly this afternoon and price movements were marginally mixed. Dutch soyoil showed small gains with support coming from early mark-ups in Chicago soyoil futures. Firm Argentine markets maintained levels in the sunflowerseed oil section but palm oil tended to move off early highs due to lack of buying support and the reported rejection of rbd oil offers by Pakistan at its tender today. Demand for coconut oil and palm kernel oil faded and here again early gains were pared. Dutch soyoil traded at 65.50 guilders for May, rising to 71 for Nov/Jan deliveries ex-mill while any origin sunflowerseed oil sold at 346.50 dlrs for May/Jul and 357.50 for Aug/Oct call ex-tank Rotterdam. No fresh trade was reported for coconut oil or palm kernel oil and palm oil also met an idle afternoon. Among oilseeds, April deliveries of U.K. Rapeseed traded to Boston, U.K. East coast, at 297 stg per tonne. REUTER
DEERE <DE> AND UNIT DEBT DOWNGRADED BY MOODY'S|Moody's Investors Service Inc said it downgraded 1.8 billion dlrs of long-term debt of Deere and Co and its finance unit John Deere Credit Co. Downgraded were senior notes and debentures to Baa-2 from A-3 and subordinated debt to Baa-3 from Baa-1. The senior debt includes John Deere Credit Co's guaranteed Eurobonds. Moody's cited lower agricultural equipment demand due to depressed conditions in the farm economy. It also noted that equipment prices are pressured by competition. Deere is the industry's dominant producer but overcapacity keeps cash flow and debt protection measures under pressure, Moody's noted. Reuter
LONDON COCOA GRADINGS/TENDERS - APR 7|None posted, Total todate 146.
MINNEAPOLIS DELIVERABLE OAT STOCKS|CFTC reported, as of april 3 , oats stocks in Mpls deliverable against Chgo futures/000's bu- CURRENT WEEK YEAR WEEK AGO AGO DEL GRADES 871 1296 2046 NON-DEL GRADES/UNGRADED 2167 1737 444 CCC STOCKS 297 297 228 TOTAL OATS STOCKS 3335 3330 2718 Reuter
H.K. OFFICIAL, STOCK EXCHANGE BAR JARDINE ISSUE|Securities Commissioner Ray Astin and Chairman of the Stock Exchange of Hong Kong Ronald Li said in a joint statement they have rejected a plan by Jardine Matheson Holdings Ltd <JARD.HK> to list its new "B" shares and that other such plans will not be approved. They said the move resulted from recognition of the potential disadvantages of listing "B" shares and from strong opposition by stock brokers and members of the exchange. They also noted both Cheung Kong (Holdings) Ltd <CKGH.HK> and associate Hutchison Whampoa Ltd <HWHH.HK> have agreed to withdraw previously announced plans to issue "B" shares. The Cheung Kong firms each announced bonus issues of one new "B" share for each two ordinary shares last week after a proposed four-for-one bonus issue of "B" shares by Jardine. The stock exchange then barred any further issues of "B" shares, except the three proposals already submitted. The "B" shares have equal voting rights with existing shares but a much lower par value. The exchange's Hang Seng index lost 134 points between Jardine Matheson's March 27 announcement and its close at 2,664.70 yesterday. But the index rose over 40 points in early trading today and brokers linked the rise to the statement. REUTER
INDONESIAN INFLATION RATE 8.8 PCT IN 1986/87|Inflation was by 8.8 pct in Indonesia during fiscal 1986/87 to March 31, compared to 5.66 pct the previous year, Information Minister Harmoko said after a cabinet session to discuss the economic situation. REUTER
EC SUGAR IMPORT LEVIES|The following import levies for white and raw sugar are effective tomorrow, in European currency units (ecu) per 100 kilos. White sugar, denatured and non-denatured 51.94 versus 51.94 previously. Raw sugar, denatured and non-denatured 44.01 versus 43.73 previously. The rate for raws is based on 92 pct yield. Reuter
WALL STREET STOCKS HIGHER IN LATE MORNING|Wall Street stocks staged a strong rebound after being hurt by an early round of futures related sell programs and profit taking. The advance was led by automakers and a firm oil sector. Special situation stocks Texaco and UAL were actively traded. The Dow Jones Industrial Average, down more than 10 points in the first minutes of trading, stood at 2415, up 10 late this morning. Advances led declines by only a slight margin on volume of 77 mln shares. GM gained two to 83-1/2 and Ford one to 91-1/8. Chrysler rose 1/4 to 58-1/2. Texaco gained 3/8 to 34 and UAL fell 5/8 to 65-1/8. Reuter
OHIO DIRECT HOGS UP 1.00 DLR - USDA|Barrow and gilt prices gained 1.00 dlr on moderate to good demand. Top 51.25 dlrs per cwt. COUNTRY AT PLANT U.S. 1-2 210-240 49.25-50.00 50.00-51.25 U.S. 1-3 240-260 48.25-49.00 49.00-50.25 actual receipts yesterday 10,800 estimated receipts today 6,500 actual week ago 8,800 actual year ago 9,100 week to date estimates 17,300 actuals week ago 18,400 actuals year ago 19,100 Reuter
