SIOUX FALLS HOGS OPEN UP 1.50 DLR - PRIVATE|Hog prices opened 1.50 dlr higher, private sources said. Top 52.00 dlrs per cwt. Reuter
INDONESIA IMPORTS 12,000 TONNES CUBAN SUGAR|Indonesia has imported 12,000 tonnes of refined sugar from Cuba to meet consumer demand in the province of South Sulawesi, the head of the provincial food agency said. The imported sugar was needed because two of three sugar refineries in the province have been temporarily shut down. It arrived in the provincial capital of Ujungpandang today and will be distributed to markets in the province, the food agency official said. Indonesia used to be a sugar exporter but last year it imported 162,500 tonnes of sugar from Thailand, Angola and Brazil to bolster its depleted stocks. Indonesia's sugar cane production last year was expected to rise significantly but domestic sugar consumption has soared because of rising demand by the food processing industry, the head of the food logistics agency, Bustanil Arifin, has said. The government has forecast that sugar production in calendar 1987 would increase 30.2 pct to 2.59 mln tonnes from 1.99 mln in 1986 but industry sources doubt whether the target could be met due to persistent post-harvest handling and transport problems. REUTER
SOUTH AFRICAN GOLD HOLDINGS RISE IN MARCH|South Africa gold holdings rose 172.56 mln rand to 4.17 billion rand in March after rising 39 mln rand to 4.0 billion in February, Reserve Bank figures show. In volume terms gold holdings rose to 5.51 mln ounces in March from 5.26 mln ounces in February, valued at 757.24 rand an ounce for March versus 754.59 rand an ounce for February. Total gold and foreign assets rose to 6.30 billion rand from 6.22 billion, of which the gold content increased to 66.22 pct from 64.3 pct. Foreign bills remained at zero in March while investments fell slightly to 105.69 mln rand from February's 106.56 mln rand and other assets to 2.02 billion rand from 2.11 billion, the figures showed. Total liabilities fell to 12.21 billion rand in March after rising to 13.62 billion in February. Reuter
SCI <SCIS> BUYS FORTUNE <FSYS> COMPUTER ASSETS|Fortune Systems Corp and SCI Systems Inc said they signed a letter of intent covering the purchase of Fortune's microcomputer business assets for an unspecified amount of cash. Fortune Systems makes a desktop computer systems. Reuter
GABELLI GROUP CUTS GENCORP <GY> STAKE TO 6.3 PCT|A group led by New York investor Mario Gabelli told the Securities and Exchange Commission it cut its stake in Gencorp Inc to 1,410,184 shares, or 6.3 pct of the total, from 1,626,233 shares, or 7.3 pct. The Gabelli group said it sold 216,049 Gencorp common shares between March 20 and 30 at prices ranging from 108.75 to 114.75 dlrs a share. Reuter
SOVIET GRAIN PRODUCTS MINISTRY CRITICISED|The Soviet Communist Party has criticised the country's Grain Products Ministry for failing to ensure proper grain storage, turning out poor quality bread and for unsatisfactory book keeping, Pravda said. The party daily said that losses in the industry owing to waste and theft amounted to 7.3 mln roubles over the last two and a half years. The situation was particularly bad in the Central Asian republic of Kazakhstan, which has been severely criticised since the ousting of its veteran leader Dinmukhamed Kunayev last December. Its new leader, Gennady Kolbin, has said that at times the grain-growing republic has performed so badly that it has been obliged to seek grain supplies from national reserves. Tass news agency announced yesterday that Grain Products Minister Grigory Zolotukhin, 75, was being retired and replaced by Alexander Budyka, a senior food industry official. Pravda added today that the crisis in the industry had been drawn to Zolotukhin's attention and two of his deputies reprimanded. REUTER
N.Y. COMMODITY OPENING FORECASTS|Commodity traders expect the futures markets to open as follows based on current London values: Gold - 1.50 to 2.00 dlrs higher Silver - 15.0 to 20.0 cents higher Platinum - 4.00 to 6.00 dlrs higher Palladium - 1.00 to 2.00 dlrs higher Copper - 0.20 to 0.30 cent higher Aluminum - unchanged to 0.10 cent higher World sugar - 0.07 to 0.10 cent lower Cocoa - 10 to 15 dlrs lower Coffee - little changed. Reuter
CANADA OIL INDUSTRY SET FOR RECOVERY - ANALYSTS|Firmer crude oil prices, government aid packages and corporate spending cuts will help Canada's oil industry recover from last year sharp downturn, industry analysts said. They said there will be significant earnings gains in 1987 compared to last year's dismal results when oil prices dropped about 50 pct. On Canada's stock exchanges, energy shares have soared to their highest levels since 1983, with many issues trading at record highs. "This is reflecting a tremendous amount of optimism on the part of the investment community that the outlook for the industry for the future is extremely attractive," Peters and Co Ltd oil analyst Wilf Gobert said. Financial statements from Canada's major oil companies, culminating with Dome Petroleum Ltd's 2.20 billion Canadian dlr 1986 loss reported this week, painted a bleak picture of last year's results, analysts said. "But the financial statements are a snap shot and a recording of history. The stock market is the indication of the future," Gobert commented. The Toronto Stock Exchange's oil and gas index of 41 companies is up to 4065.4 so far in trading today from 3053.15 at the end of 1986. Among Canada's largest oil companies, class A shares of Imperial Oil Ltd <IMO.A>, 70 pct owned by Exxon Corp <XON>, is trading at 71, up from a 52-week low of 34-3/4. Shell Canada Ltd, 72 pct owned by Royal Dutch/Shell Group, is at 40-1/2, up from a low during the last year of 18-3/4. Texaco Canada Inc <TXC>, 78 pct owned by Texaco Inc <TX>, is at 34-7/8, up from a low of 24-1/2. Levesque Beaubien Inc oil analyst Robert Plexman forecasts operating profit for 10 of Canada's largest oil and gas companies will rise 37 pct in 1987 to about 1.44 billion dlrs and operating cash flow will increase 12 pct to 3.24 billion dlrs, based on an average oil price for the year of 16.50 U.S. dlrs a barrel. "However, if prices hold about 18 U.S. dlrs a barrel...1987 net operating income could show a 69 pct increase with cash flow 27 pct higher," analyst Plexman said. "Although it is difficult to forecast the extent of the profit improvement this year, the gain should be significant," he added. Those improvements follow a sharp downturn in 1986, when operating income for the ten companies dropped 47 pct to 1.05 billion dlrs and operating cash flow fell 22 pct to 2.90 billion dlrs. But one industry source doesn't think oil prices will hold recent gains and more government assistance is needed. Canadian Petroleum Association technical director Hans Maciej sees industry cash flow falling another 10 pct in 1987, after dipping about 60 pct last year. Maciej said he sees crude oil supply outweighing demand and doesn't believe a recent OPEC production accord will continue to support prices. However, several companies share the optimistic industry outlook expressed by a majority of analysts. Shell Canada and <Norcen Energy Resources Ltd> forecast improved 1987 earnings in their annual reports issued this week, assuming oil prices remain at or above 1986 levels. "The industry's outlook for 1987 is positive, but not robust," Texaco Canada said in its annual report. "While oil prices have strengthened somewhat and there is good reason to believe that the general level is sustainable, continued volatility is likely," Texaco Canada added. In the face of short-term uncertainty, many companies have pared 1987 spending plans from last year's lower levels, deferring most frontier exploration work. "The industry is becoming very selective in investments, very conservative and cautious, which is not unexpected," Canadian Petroleum Association's Maciej said. Federal and Alberta goverment aid measures helped cushion the industry downturn in 1986 and are improving 1987 results. The most significant help came last September when the federal government lifted the 10 pct Petroleum Gas Revenue Tax (PGRT) 28 months earlier then planned. Analysts estimate the tax relief will save larger oil companies about 1.50 billion dlrs by the end of 1988. The PGRT cut helped brake the steep profit and cash flow decline in 1986 for many oil companies and prevented further exploration spending cuts, analysts said. "For a number of companies, the PGRT cut was absolutely necessary to even maintain the kind of reduced investments that were made, otherwise the reduction would have been considerably more," Maciej said. Reuter
CHINESE CROPS HIT BY FROST, SNOW AND RAIN IN MARCH|Wheat and rapeseed crops in east China suffered considerable damage because of frost during a spell of unusually cold weather in late March, the China Daily said. It said average temperatures for the last 10 days of March in most of east China were three to five degrees centigrade below average. Snow fell in Jiangsu, Anhui, Hubei and Henan, making early rice sowing difficult. Heavy snow blanketted central and south Jilin and north Liaoning, leaving farmland too muddy for spring ploughing and sowing, the paper said. The paper said rainfall during the last 10 days of March in areas south of the Yangtze had been much higher than normal. Heavy rain fell last Sunday in parts of Guangdong, ending a particularly arid dry season and marking the start of the flood season, it said. It gave no further details. The New China News Agency said rain and snow in Henan had improved the prospects for wheat, sown on 4.8 mln hectares, and caused a drop in grain prices at rural fairs since late February. It gave no 1986 figures for comparison. REUTER
RENT-A-CENTER <RENT> SELLS CONVERTIBLE DEBT|Rent-A-Center Inc is raising 35 mln dlrs via an offering of convertible subordinated debentures due 2012 with a 5-3/4 pct coupon and par pricing, said sole manager Morgan Stanley and Co Inc. The debentures are convertible into the company's common stock at 40.50 dlrs per share, representing a premium of 25.58 pct over the stock price when terms on the debt were set. Non-callable for two years, the issue is rated Ba-3 by Moody's Investors Service Inc and BB-minus by Standard and Poor's Corp. Reuter
PERU CONSUMER PRICES RISE 5.3 PCT IN MARCH|peru's consuemr price index rose 5.3 pct last month to 13,914.4 (base 100) following a 5.3 pct increase in february and 5.3 pct rise in march 1986, the national statistics institute said. It said that the accumulated inflation for the first three months of 1987 was 18.5 pct compared to 15.4 pct for the same period last year. Inflation for the 12-month period ending march 1987 was 67.4 pct compared to 120.8 pct for the 12-month period ending march 1986. Reuter
U.S. TREASURY MARKET ENDS SHARPLY HIGHER|The U.S. Treasury market ended sharply higher, reassured by news that the Federal Open Market Committee voted in February to maintain the then-existing degree of restraint on bank reserves, dealers said. News of a weaker-than-expected March employment report and a minor bounce back in the dollar prompted short-covering that pushed coupon issues higher, while an easing in the Federal funds rate below six pct helped short-dated issues. The key 7-1/2 pct 30-year Treasury bond price finished 3/4 higher at 95-27/32, pushing the yield down to 7.86 pct from 7.93 pct yesterday. Danuta Zielonka of Wertheim Schroder Co Inc said that recent slowing in the growth of the monetary aggregates is a another factor arguing against firmer Fed policy. "Money growth has been slowing perceptibly in March which should give them more room to not tighten," she said. "Both M2 and M3 are will be at the low end of their target ranges in March." "The FOMC minutes are neutral for the bond market," Zielonka said. "Dollar considerations will prevent them from easing anytime soon, but they can't tighten with the economy weak and the banks having to deal with Brazil." Doubts on the economy's strength were underscored not only by a smaller-than-expected 164,000 gain in March non-farm payrolls, but also by a downward revision in February's gain to 236,000 from a previously reported 337,000. The market's initial reaction to the data was restrained by fears the employment news would undermine the dollar, but when the dollar maintained a firm tone, the bond market extended its gains. Profit-taking pulled bond prices down from the day's highs, but a record close in the U.S. stock market stimulated buying late in the day that offset this somewhat. Still, coupon issues were unable to recover completely from this week's steep losses as trade tensions between the U.S. and Japan pressured the dollar and discouraged Japanese investors from buying U.S. Treasury bonds. The current 7-1/2 pct Treasury bond traded down to 94-11/32 in Tokyo this week, pushing the yield to 7.98 pct. This capped the U.S. 1987 high yield on the 30-year bond of 7.93 pct, seen yesterday. Treasury bills advanced on the week. The six-month bills rose one basis point, but three-month bills fell 17 basis points and the year bill fell two basis points. Dealers said that the sharp drop in three-month bills resulted in part from recent outright bill purchases for a customer, believed to be related to heavy intervention by foreign central banks to support the dollar. A drop in the Fed funds rate to 5-15/16 today underpinned a decline in bill rates. It traded at this level throughout the session, down from yesterday's 6.14 pct average. Three-month bills closed two basis points lower at 5.48 pct bid. Six- and 12-month bills both dropped nine basis points to respective bids of 5.70 pct and 5.75 pct. Reuter
SURGIDYNE INC FILES FOR INITIAL OFFERING|Surgidyne Inc said it filed a registration statement for a proposed initial public offering of its common stock. The company proposes to offer 1,125,000 common shares at about 2.00 dlrs a share. The offering would be underwritten by Westonka Investments Inc. Surgidyne develops and markets specialty medical and surgical products. Reuter
EARLY GULF CASH SOYBEANS SLIGHTLY FIRMER|Early gulf cash soybean basis levels were slightly firmer in moderate trading as slow country movement lent support, dealers said. Lower barge freight rates lent some support, but slow export dealings limited gains. Soybean export inspections were below trade expectations at 10.8 mln bushels. April and May traded late yesterday at 25 cents over May, and July traded down to 24 over July. Gulf cash corn values were firm amid very strong export inspections of 46.7 mln bushels. Hard wheat gulf values were firm nearby amid ongoing export dealings and slow movement. Corn (Barges - Basis Chgo futures) April - 21 ov May bid, 22 offered. May - 21 ov May bid, 22 offered. June - 18 ov Jly bid, 19 offered. Soybeans (Barges - Basis Chgo futures) April 1/10 - 25-1/2 ov May bid, 26-1/2 off. F/H April - 25 ov May bid, 26 offered. April - 24 ov May bid, 25 offered. Hard wheat (Rail, 40 DHV, basis K.C. fut.) F/H April - 39 ov May bid, no offers. April - 36 ov May bid, no offers. F/H May - 43 ov May bid, no offers. L/H May - 38 ov May bid, no offers. F/H June - 38 ov Jly bid, no offers. L/H June - 34 ov Jly bid, no offers. July - 34 ov Jly bid, no offers. Soft wheat (Barges - Basis Chgo futures) June - 13 ov Jly bid, 15 offered. July - 13 ov Jly bid, 15 offered. Reuter
EQUITIES DRIFT LOWER ON EASIER WALL STREET OPENING|Equities drifted lower after the easier opening on Wall Street, but the London market was depressed from the outset on lack of interest and a feeling that yesterday's gains were overdone, dealers said. Much of today's business was inter-professional, but dealers noted that despite today's falls and low volume the market still had a firm, although cautious, undertone. At 1430 GMT the FTSE 100 index was down 8.1 points at 1,981.5 compared with an opening 1,987.4. Concern over the possibility of a trade war with Japan, although less pronounced, provided further caution. Yesterday, the Japanese finance ministry made moves to try and dispel fears of a trade war by saying it will help to expand the Tokyo Stock Exchange membership to facilitate foreign membership. However, British corporate affairs minister Michael Howard has told Japan to resolve the row over Cable and Wireless' shareholding in a new Japanese telecommunications company or face an abrupt deterioration in trade relations. Cable and Wireless, which has been at the centre of the trade row, was up 2p at 372. The latest media opinion polls helped to underpin prices as they strengthened the belief that the ruling Tory party will win the next U.K. General election. Although there is still uncertainty over the timing of the election, most dealers polled by Reuters this afternoon thought that June would be the most likely time. A poll conducted for the breakfast television programme TV-AM showed the Conservatives 13 points ahead of the Opposition Labour Party, while a poll in the Times newspaper, which measured party support in 73 key marginal seats, gave the Tories a lead of six points over the labour opposition. Market leader ICI stood unchanged at 1,335 but IC Gas slipped 14p to 752 on profit-taking after yesterday's stong gain while Jaguar rose 15p to 590 mainly on U.S demand ahead of a motor show in New York. Pharmaceuticals had Wellcome down 23p to 397 on further profit-taking in the wake of adverse press comment on the side effects of its "Retrovir" aids drug. London International Group gained 13p to 301 as operators switched out of Wellcome. Extel lost a net 26p to 464 in the wake of yesterday's news that Robert Maxwell's British Printing and Communications Corp would not be making a bid for the company. In a generally easier oil sector, BP fell 18p to 912 after yesterday's statement by Standard Oil that it considered BP's 70 dlrs per share tender offer for the 45 pct of the company it does not already own as "inadequate." In banks, Standard Chartered lost 4p to 820 after its recent gains on the back of bid rumours, but dealers noted press speculation that Australian businessman Robert Holmes A'Court had increased his stake in the company yesterday. Many operators expect Lloyds bank to renew its offer for Standard once its one year bid limit ends in July, although some dealers thought this unlikely. Lloyds gained 1p to 488. Elsewhere, industrial group Norcros gained 9p to 448 on speculation of a bid for the company, while food retailer Tesco added 2p to 475 after extending its 151 mln stg contested bid for Hillards Plc until May 1. Hillards was a penny up at 314. Government bonds stood generally lower in late trading with prices drifting down on a lack of interest. Gilts gained around 5/16 point at the outset on the back of the opinion polls. Equities tended to move up in later quiet trading as Wall Street rallied from its early lows. At 1556 GMT the FTSE 100 was down just 4.7 points at 1,984.9 after a low of 1,977.2 at 1354 GMT. Dealers said most in the market appear to expect share prices to move higher tomorrow, but volume will remain relatively light ahead of an announcement of the election date. They said given the thin trading conditions the market's movements will be volatile in the coming few sessions. REUTER
JAL PLANE CRASH THOUGHT DUE TO BOEING <BA.N> FAULT|A Japanese government investigation team believes that faulty repairs by Boeing Co caused the worst single plane crash in history, one of the team said. Boeing Co is the manufacturer of the Japan Air Lines 747 jumbo jet which crashed into a mountain in Japan on August 12, 1985, killing 520 people. There were only four survivors. A Boeing spokesman, contacted by telephone at the firm's headquarters in Seattle, Washington, told Reuters the firm would probably have no comment to make until the Japanese investigation team's report was officially released. The team investigator, a Japanese Transport Ministry official who declined to be identified, said a failure by Japanese aircraft inspectors to check the repair work done on the plane by a Boeing team had provoked an internal debate in the Ministry over inspection procedures. The Ministry official told Reuters that a report by his team, which has already been sent in draft form to the U.S. National Transportation Safety Board for comment, should be released in late May. Under an international convention, the draft must be submitted for final comments to the pertinent authorities. Asked on Thursday about Boeing's role in the crash, a Ministry spokesman declined comment. On September 6, 1985, Boeing issued an official statement saying that repairs it had undertaken on the doomed Japan Air Lines plane in 1978 were faulty. However, no official, direct connection was then made between the faulty repairs and the crash. The Japanese investigation team says in its draft report that it believes those faulty repairs were the cause of the 1985 accident, the investigator said. The Boeing statement after the crash said: "Examination of the wreckage, the flight data recorder readout, the cockpit voice recorder, and interviews with the surviving off-duty flight attendant indicate that decompression occurred in flight due to a rupture of the aft pressure bulkhead. "The Boeing examination of the bulkhead at the site of the crash has revealed that a relatively small section of the bulkhead splice, approximately 17 per cent, was not correctly assembled during repairs which Boeing made after a 1978 landing accident," the statement said. The repairs were required after a 1978 landing accident at Osaka airport, in western Japan, in which the plane's tail scraped the runway. The Japanese report also mentions the government inspectors who in 1978 signed a certificate of airworthiness approving the repairs, he said. Police had investigated four inspectors, including one man who two weeks ago killed himself by drinking insecticide after four days of police questioning. "None of the four had looked at Boeing's repair work," the investigator said. REUTER
CANADA BUDGET DEFICIT RISES IN JANUARY|The Canadian government's budget deficit rose to 1.78 billion dlrs in January from 1.67 billion dlrs in the same month last year, the finance department said. But the deficit in the first 10 months of the fiscal year which began on April 1, 1986, fell to 22.36 billion dlrs from 25.74 billion dlrs in the same period a year ago. January revenues rose to 7.96 billion dlrs from 7.56 billion dlrs while expenditures grew to 9.74 billion dlrs from 9.23 billion dlrs. Revenues in the first 10 months increased to 70.06 billion dlrs from 62.30 billion while expenditures grew to 92.42 billion dlrs from 88.05 billion. Reuter
U.S. TO PRESS FOR FASTER JAPANESE, GERMAN GROWTH|The U.S. Administration, under Congressional pressure to cut the trade deficit, will urge Tokyo and Bonn to meet commitments to speed economic growth to stabilise currencies at Wednesday's meetings of leading industrial nations in Washington, monetary sources said. The U.S. Will also try to develop proposals made at the 1986 Tokyo Summit for measures to ensure agreements such as the Paris Accord are more binding, they said. Treasury Secretary James Baker's dual initiatives reflect U.S. Frustration with the two countries for not moving fast enough to curb their huge trade surpluses, they added. Japanese Finance Minister Kiichi Miyazawa is expected to bring the outline of an economic stimulus package to the meeting, which will be attended by West Germany, France, Britain, Italy and Canada as well as the U.S. And Japan, the sources said. "The sooner the Japanese can announce their intention to announce a stimulative package,the better it is for Japan and for the exchange markets in general," one of the sources said. Treasury Secretary James Baker said the Paris Agreement, in which West Germany and Japan made their commitments, will be renewed by the industrial countries this week. Other U.S. Officials said a meeting of the Group of Seven will be a status report on progress Bonn and Tokyo have made setting up stimulus measures. The U.S. Will tell its partners that it expects a further substantial budget deficit reduction package to be agreed with Congress this year, the sources said. Washington would like its economic partners to establish specific economic policy goals. Sharp deviations from the set objectives would trigger consultations among the countries on appropriate corrective action, they added. The Paris accord envisaged surplus countries like Japan and West Germany stimulating domestic demand to absorb more imports and the U.S. Cutting its budget deficit, thereby depressing its demand for imports. But the markets are signalling the dollar's floor may be far below its level at the time the Paris agreement was struck, the sources said. Monetary sources also said the dollar's recent sharp fall against the yen reflected the U.S.-Japanese dispute over semi-conductor trade which resulted in U.S. Tariffs on certain Japanese electronic goods. One of the sources said the dispute has to some extent soured the atmosphere ahead of the meetings. Congressional sentiment for protectionist measures, aimed particularly at Japan, has strengthened, the sources said. REUTER
SYNGOLD DEFINES RESERVES ON DEKA PROPERTY|<Syngold Exploration Inc> and <Corp Falconbridge Copper> said they defined undiluted reserves of 911,000 tons of ore with an average grade of 0.43 ounces of gold per ton in two separate deposits on the Deka property located at Noranda, Quebec. Assay results from 20 suface holes drilled on 250 foot centers indicate that the Donalda number one deposit contains possible reserves of 611,000 tons at an average grade of 0.48 ounces of gold per ton. The number one deposit's reserves are contained between a vertical depth of 750 and 1200 feet at a strike length of 900 feet. Reserves of the Donalda number-two deposit, located 1,000 feet below the number-one deposit, were recalculated at 300,000 tons with an average grade of 0.33 ounces of gold per ton. Syngold has earned a 20 pct interest in the Deka property from the operator, Corp Falconbridge Copper. Reuter
U.S. ENERGY FUTURES POST GAINS AFTER FIRM OPEN|Light mixed buying around the rings boosted U.S. energy futures to new daily highs after a slightly firmer open, traders said. May crude jumped 15 cts to 18.82 dlrs a barrel, nearing the top end of a 17.75-18.85 dlrs resistance range. Traders said firmness in the North Sea Brent cash crude market plus reports of escalation in the Iran/Iraq war lent support to crude futures. April 15-day forward Brent crude traded as high as 19.40 dlrs a barrel today. Traders said resistance continues overhead near 19.00 dlrs a barrel for May crude futures. Gasoline continued to post larger gains than heating oil and to trade at a premium to two oil futures. May gasoline was up 0.56 cent to 53.50 cts a gallon, at resistance. May heating oil was up 0.36 cent to 49.15 cts a gallon. Both contracts were off 0.05 cent from this morning's high. Reuter
EC AGREES ON NEED TO STRENGTHEN EMS|European Community (EC) finance ministers and central bankers agreed on the need for greater cooperation to strengthen the European Monetary System (EMS) against international market turbulence, officials said. "There was a general will to reinforce the European Monetary System, with all that implies," Belgian Finance Minister Mark Eyskens said yesterday after hosting a one-day session of informal talks at this Belgian coastal resort. The gathering was the first such discussion since the second major realignment of EMS parities within nine months in January. The system has come under severe strain as funds have flowed out of the slumping dollar and into the dominant EMS currency, the West German mark, sending it soaring against weaker currencies in the system. But Eyskens said February's agreement between leading western industrialised nations to stabilise exchange rates at around current levels was working and this would allow the EC to speed up its efforts to boost the internal stability of the EMS. He told a news conference yesterday's meeting agreed on the need for closer coordination among EMS member governments of interest rate policies and of interest rate differentials between different countries. They also agreed they needed better coordination of exchange market intervention to hold currencies stable, both when they reached their fixed EMS limits and within their agreed margins. But Eyskens said this coordination raised a whole range of technical problems and ministers would discuss these further in Luxembourg in June on the basis of proposals from the EC's Monetary Committee and Committee of Central Bank Governors. He said the EC needed a set of indicators of economic convergence betwen Community countries and it was important that interest rates fulfilled this role together with exchange rates and inflation rates. The Belgian minister, whose country presently holds the presidency of the community, made clear the meeting had not produced any agreement to move radically forward in developing the EMS towards the EC's long term goal of economic and monetary integration. "We have committed ourselves to reestablishing the normal functioning of the system," Eyskens said. Eyskens has repeatedly stressed that he believes the EMS has to be reinforced if the EC's plans to liberalise all movements of capital across national borders by 1992 are to go ahead. EC executive Commission President Jacques Delors told the meeting the authority would put forward proposals for a final phase of capital market liberalisation in October that would include safeguard clauses for member countries for which the move would create difficulties. Eyskens said the ministers and central bankers also discussed the need to "dedramatise" realignments of EMS parities by letting high-ranking monetary officials carry them out by telephone rather than calling a meeting of finance ministers. However, West German sources said Bonn Finance Minister Gerhard Stoltenberg was unenthusiastic about the idea. British Chancellor of the Exchequer Nigel Lawson told journalists that one of the technical issues raised by greater coordination of exchange market intervention was the question of which currencies should be used to intervene and held in central bank reserves. He said several EMS member countries believed the EMS would work better if central banks held each other's currencies -- an issue of particular importance regarding West Germany since the Bundesbank holds only dollars in its foreign exchange reserves. He said the debate on dedramatising EMS realignments reflected a general feeling among participants that the way the January reshuffle had been conducted was unsatisfactory. The realignment was marked by acrimony between France and West Germany, with each side blaming the other for strains in the system that forced the parity overhaul. REUTER
SIOUX CITY HOGS SEEN UP 0.50 DLR - PRIVATE|Hog prices expected 0.50 dlr higher on estimated receipts of 3,200 head, private sources said. Top seen at 51.00 dlrs per cwt. Sources cited higher cut-out values late yesterday. Reuter
NISSAN RAISES U.S. CAR, TRUCK PRICES 1.9 PCT|Nissan Motor Corp said it is raising the suggested retail price for its cars and trucks sold in the United States by 1.9 pct, or an average 212 dlrs per vehicle, effective April 6. The company said the increase is the result of the continued strengthening of the Japanese yen against the U.S. dollar. Reuter
CAMBRIDGE BIOSCIENCE <CBCX> TO START AIDS TESTS|Cambridge BioScience Corp said it received Federal Drug Administration approval on its "Investigational New Drug" filing to begin human clinical trials of its second generation diagnostic test for AIDS. The company said it anticipates the test may be released to worldwide markets by late 1987 or early 1988. Cambridge BioScience also said it expects to file soon an "Investigational New Drug" with the FDA on its screening test for detecting AIDS antibodies. This test, which is being evaluated in emergency situations in several African nations, does not require highly trained technicians nor instrumentation, according to the company. Cambridge BioScience explained that the filing for human clinical trials for AIDS that received FDA approval, utilizes recombinant-DNA technology to detect and screen antibodies in blood or serum of patients infected with the AIDS-causing virus. The other separate planned filing with the FDA is a revolutionary, five-minute latex agglutination screening test for detecting AIDS antibodies, the company said. This test, utilizes latex beads coated with CBC's recombinant antigen which attract and hold AIDS antibodies, forming clusters (agglutination), which indicates a positive result. Reuter
RICHARDSON ELECTRONICS <RELL> 3RD QTR FEB 28 NET|Shr 20 cts vs 20 cts Net 1,981,000 vs 1,689,000 Rev 24.7 mln vs 19.6 mln Nine months Shr 59 cts vs 53 cts Net 5,855,000 vs 4,360,000 Rev 70.9 mln vs 51.9 mln NOTE: Fiscal 1986 per share data reflects dilutive effect of shares issued for April 1986 convertible debenture conversion. Company's full name is Richarson Electronics Ltd. Reuter
TEXAS AMERICAN <TXA> BANKS TO BE MERGED|Texas American Bancshares Inc said three of its Texas American banks will be merged into Texas American Bank/Galleria. The corporation said the Spring Branch, Fonderen and Gulfway Texas American banks will become separate banking offices of TAB/Galleria. Reuter
LONDON GOLD FIXED AT 419.80 DLRS THIS MORNING|Gold bullion was fixed this morning at 419.80 dlrs an ounce, down on last night's close of 421.50/422.00, dealers said. The market opened little changed at 421.90/422.40 but eased during the morning as dealers traded on the gold/silver ratio, selling gold and buying silver. Business was fairly light as trading in gold was overshadowed by interest in silver. Platinum was fixed this morning at 565.75 dlrs, slightly up on last night's close of 564.50/565.50. REUTER
JACK WINTER INC <JWI> 4TH QTR JAN 3 LOSS|Shr loss 67 cts vs loss seven cts Net loss 2,410,000 vs loss 245,000 Revs 11.0 mln vs 10.9 mln 12 mths Shr loss 21 cts vs profit 43 cts Net loss 748,000 vs profit 1,571,000 Revs 46.9 mln vs 40.5 mln Reuter
ROLLS APPROACHES FLOAT WITH PROFITS SET TO RISE|State-owned engine maker <Rolls Royce Plc> launches its prospectus for privatisation tomorrow with many analysts forecasting higher profits this year. But it is likely to miss contracts to power the proposed <Airbus Industrie> A340 aircraft. The company's so-called "pathfinder prospectus" gives all the details of its stock market flotation except for the price at which shares will be offered. Last month, the company announced that pretax profits rose in 1986 to 120 mln stg from 81 mln the year before. Brokers Barclays de Zoete Wedd, BZW, sees 155 mln profit for 1987. Analyst Tim Harris of Phillips and Drew said rising profits and a low tax charge would be offset by the fact that Rolls operated in a sector which traditionally attracted low ratings. Assuming the company was valued at around eight times earnings, this would give a selling price valuing it at about 1.2 billion, though he said the recent good performance of the aerospace sector could nudge this figure upwards. BZW is currently forecasting a higher sale price at between 1.5 billion and 1.7 billion. The price will be increased by it being likely to have much of its debt wiped off by a government anxious to assure the company's health when it has to fend for itself. Rolls was rescued from bankruptcy and taken into state ownership in 1971. When the government announced the sale, it said it would inject permanent capital equivalent to net debt -- around 250 mln stg at end-1986 -- into the company. Analysts noted this was necessary to ensure Rolls a credit rating to match those of its main competitors such as General Electric Co <GE.N> and United Technologies Corp's <UTX.N> Pratt and Whitney unit. Reuter
FRENCH INDUSTRY REVISES DOWN INVESTMENT FORECAST|French industrialists have sharply revised down their investment expectations, forecasting that investment in the competitive sector will rise by just three pct in real terms this year compared with a forecast of six pct growth made last November, according to the latest study by the National Statistics Institute (INSEE). Last year investment in the competitive sector grew by just one pct in real terms. Investment by small companies is expected to grow by nine pct this year, while investment by medium and large companies will grow by only three pct. REUTER
EC UNEMPLOYMENT FALLS SLIGHTLY IN FEBRUARY|European Community unemployment fell slightly in February to just under 17 mln from 17.1 mln in January, the EC statistic's agency Eurostat said. It said the fall came despite a bad winter in most of the EC when seasonal factors could be expected to have had a more adverse effect. However, the agency added, the long-term trend was virtually unchanged stating that compared to February 1986 the number of registered unemployed increased by 222,000. REUTER
WEST GERMAN 1986 OIL MEALS, CAKES USE UP|West German consumption of oilmeals and oil cakes last year rose by 2.4 pct to 6.3 mln tonnes, the agriculture ministry said. It said in a statement the increase was exclusively due to sharply higher use of rape products, which went up by 8.9 pct to 1.08 mln tonnes. Use of soy products dropped 7.2 pct to 2.89 mln tonnes, it added. REUTER
DATRON SYSTEMS <DTSI> SEES LOWER YEAR NET|Datron Systems Inc said it expects to report a falloff in earnings for the year ended March 31 of about 25 pct from fiscal 1986 levels. In fiscal 1986, Datron earned 1,776,000 dlrs. The company said new orders for the year just ended, however, rose 50 pct to 26 mln dlrs, bringing backlog at year-end to 19 mln dlrs. Reuter
<KINGSTON SYSTEMS INC> INITIAL OFFERING UNDERWAY|Lead underwriter Woolcott and Co Inc said an initial public offering of 1,100,000 shares of Kingston Systems Inc is underway at eight dlrs per share. Underwriters have been granted an option to buy up to 165,000 more shares to cover overallotments. Reuter
